Subject,Artist,Attributed,Enjoyment
242,Human,Computer,6.1
243,Computer,Computer,5
243,Human,Human,5
243,Computer,Human,5.1
243,Human,Computer,5.9
244,Computer,Computer,3.2
244,Human,Human,7.6
244,Computer,Human,3.1
244,Human,Computer,4.1
245,Computer,Computer,6.3
245,Human,Human,7.9
245,Computer,Human,5.9
245,Human,Computer,6.7
246,Computer,Computer,2.5
246,Human,Human,5.7
246,Computer,Human,6.3
246,Human,Computer,7.3
247,Computer,Computer,2.3
247,Human,Human,3.3
247,Computer,Human,2.2
247,Human,Computer,2.9
248,Computer,Computer,2.5
248,Human,Human,3.6
248,Computer,Human,3.7
248,Human,Computer,3.5
249,Computer,Computer,7.3
249,Human,Human,7.7
249,Computer,Human,7.5
249,Human,Computer,6.8
250,Computer,Computer,2.8
250,Human,Human,5.2
250,Computer,Human,2.9
250,Human,Computer,4.1
251,Computer,Computer,3.1
251,Human,Human,4.4
251,Computer,Human,3.5
251,Human,Computer,4.6
252,Computer,Computer,7.8
252,Human,Human,6.6
252,Computer,Human,5.8
252,Human,Computer,8.1
253,Computer,Computer,4.9
253,Human,Human,7
253,Computer,Human,5.2
253,Human,Computer,5.2
254,Computer,Computer,6.2
254,Human,Human,6.6
254,Computer,Human,7.5
254,Human,Computer,7.5
255,Computer,Computer,4.4
255,Human,Human,6.6
255,Computer,Human,5.3
255,Human,Computer,5.5
256,Computer,Computer,2.9
256,Human,Human,3.7
256,Computer,Human,3.7
256,Human,Computer,4.6
257,Computer,Computer,4.9
257,Human,Human,5.2
257,Computer,Human,5.5
257,Human,Computer,7.1
258,Computer,Computer,8.4
258,Human,Human,9
258,Computer,Human,8
258,Human,Computer,8.8
259,Computer,Computer,2.8
259,Human,Human,5.7
259,Computer,Human,5
259,Human,Computer,4.9
260,Computer,Computer,5.9
260,Human,Human,8.1
260,Computer,Human,5.1
260,Human,Computer,7.1
261,Computer,Computer,4.6
261,Human,Human,5.2
261,Computer,Human,5.7
261,Human,Computer,6.9
262,Computer,Computer,5.3
262,Human,Human,5.7
262,Computer,Human,6
262,Human,Computer,5.6
263,Computer,Computer,4.9
263,Human,Human,5.7
263,Computer,Human,4.7
263,Human,Computer,4.8
264,Computer,Computer,7.1
264,Human,Human,9.7
264,Computer,Human,7.9
264,Human,Computer,6.6
265,Computer,Computer,6
265,Human,Human,5.6
265,Computer,Human,6.6
265,Human,Computer,7.1
266,Computer,Computer,5.5
266,Human,Human,6.8
266,Computer,Human,5.9
266,Human,Computer,7.1
267,Computer,Computer,5.5
267,Human,Human,7.1
267,Computer,Human,5.9
267,Human,Computer,6.2
268,Computer,Computer,3.2
268,Human,Human,5.6
268,Computer,Human,6.5
268,Human,Computer,7.8
269,Computer,Computer,5.5
269,Human,Human,6.8
269,Computer,Human,5.8
269,Human,Computer,3.8
270,Computer,Computer,5.4
270,Human,Human,6.2
270,Computer,Human,6
270,Human,Computer,5.6
271,Computer,Computer,2.3
271,Human,Human,4.9
271,Computer,Human,4.1
271,Human,Computer,4.4
